City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Ambilobe,MG,2022-11-10 03:40:12,-13.2,49.05,77.81,54,98,3.8
172,Harper,LR,2022-11-10 03:40:12,4.375,-7.7169,77.2,84,30,6.46
173,Port Alfred,ZA,2022-11-10 03:40:13,-33.5906,26.891,59.18,97,100,11.7
174,Huayang,CN,2022-11-10 03:40:13,34.4155,109.9939,55.51,71,44,3.56
175,Bushehr,IR,2022-11-10 03:40:13,28.9684,50.8385,75.29,60,40,6.91
176,Kaitangata,NZ,2022-11-10 03:40:14,-46.2817,169.8464,55.99,61,0,11.97
177,Chokurdakh,RU,2022-11-10 03:37:17,70.6333,147.9167,-9.63,99,100,8.32
178,Anastacio,BR,2022-11-10 03:40:14,-20.4836,-55.8069,73.85,43,22,1.92
179,Sakaiminato,JP,2022-11-10 03:40:14,35.55,133.2333,69.73,56,20,6.91
180,Vardo,NO,2022-11-10 03:41:14,70.3705,31.1107,39.18,81,100,14.97
181,Bubaque,GW,2022-11-10 03:41:15,11.2833,-15.8333,81.88,71,0,10.18
182,Mglin,RU,2022-11-10 03:41:15,53.0591,32.8475,42.33,92,100,11.5
183,Erzin,TR,2022-11-10 03:41:15,36.9559,36.2,58.77,67,79,4.27
184,Porto Novo,BJ,2022-11-10 03:41:15,6.4965,2.6036,80.42,89,72,5.35
185,Menzelinsk,RU,2022-11-10 03:41:16,55.7271,53.1026,35.78,95,100,10.94
186,Scarborough,GB,2022-11-10 03:38:52,54.2797,-0.4044,53.33,86,100,10.0
187,Tukrah,LY,2022-11-10 03:41:16,32.5341,20.5791,63.16,70,0,5.91
188,Kathu,TH,2022-11-10 03:37:58,7.9178,98.3332,85.82,99,58,11.12
189,Fremont,US,2022-11-10 03:37:15,37.5483,-121.9886,53.89,80,0,3.44
190,Marapanim,BR,2022-11-10 03:41:16,-0.7175,-47.6997,72.12,92,17,3.51
191,Hambantota,LK,2022-11-10 03:38:58,6.1241,81.1185,79.14,100,75,2.3
192,Tongchuan,CN,2022-11-10 03:41:17,35.0806,109.0897,61.11,68,76,8.14
193,Homer,US,2022-11-10 03:41:17,59.6425,-151.5483,36.81,82,100,5.01
194,Nanortalik,GL,2022-11-10 03:41:17,60.1432,-45.2371,29.46,95,100,10.83
195,Flinders,AU,2022-11-10 03:41:17,-34.5833,150.8552,73.06,67,33,14.97
196,Hasaki,JP,2022-11-10 03:36:51,35.7333,140.8333,73.22,48,19,17.58
197,Baykit,RU,2022-11-10 03:41:18,61.67,96.37,22.37,88,100,9.33
198,Port Blair,IN,2022-11-10 03:41:18,11.6667,92.75,86.04,74,40,4.61
199,Los Llanos De Aridane,ES,2022-11-10 03:41:18,28.6585,-17.9182,65.95,86,0,9.22
200,Castro,BR,2022-11-10 03:41:19,-24.7911,-50.0119,54.66,71,5,2.64
201,Iqaluit,CA,2022-11-10 03:41:19,63.7506,-68.5145,11.93,73,100,11.5
202,Mackay,AU,2022-11-10 03:41:19,-21.15,149.2,81.68,62,92,15.03
203,Yulara,AU,2022-11-10 03:41:20,-25.2406,130.9889,92.95,17,19,6.08
204,Henderson,US,2022-11-10 03:36:23,36.0397,-114.9819,54.84,44,0,6.91
205,Qasigiannguit,GL,2022-11-10 03:41:20,68.8193,-51.1922,8.85,77,100,7.47
206,Pochutla,MX,2022-11-10 03:41:20,15.7432,-96.4661,77.83,91,0,4.03
207,Doha,QA,2022-11-10 03:41:20,25.2867,51.5333,82.38,74,0,14.97
208,Yerbogachen,RU,2022-11-10 03:37:09,61.2767,108.0108,20.88,92,100,12.86
209,Dudinka,RU,2022-11-10 03:41:21,69.4058,86.1778,4.62,96,100,9.89
210,Daur,PK,2022-11-10 03:41:21,26.4583,68.3192,81.5,39,0,2.19
211,Saint George,US,2022-11-10 03:40:21,37.1041,-113.5841,46.99,67,0,3.44
212,Vila Velha,BR,2022-11-10 03:41:21,-20.3297,-40.2925,69.94,92,20,3.44
