City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Lagoa,PT,39.05,-27.9833,61.45,63,2,12.91,clear sky
140,Sauk Rapids,US,45.5919,-94.1661,31.78,75,100,20.71,overcast clouds
141,Srednekolymsk,RU,67.45,153.6833,-28.07,100,84,3.53,broken clouds
142,Shitanjing,CN,39.2342,106.3439,30.7,50,80,9.91,broken clouds
143,Sinnamary,GF,5.3833,-52.95,82.36,78,35,7.02,scattered clouds
144,Bilma,NE,18.6853,12.9164,76.05,23,96,5.32,overcast clouds
145,Basco,PH,20.4487,121.9702,80.71,84,14,13.94,few clouds
146,Yaan,NG,7.3833,8.5667,82.96,56,99,3.56,overcast clouds
147,Hurghada,EG,27.2574,33.8129,70.75,54,0,11.65,clear sky
148,Bristol,US,41.8334,-71.1662,72.25,71,100,5.01,overcast clouds
149,Taos,US,36.4072,-105.5731,39.97,47,75,11.01,broken clouds
150,Doka,SD,13.5167,35.7667,79.32,45,33,6.38,scattered clouds
151,Muisne,EC,0.6,-80.0333,76.66,73,100,10.27,overcast clouds
152,Lakes Entrance,AU,-37.8811,147.981,57.16,96,100,7.83,overcast clouds
153,Dakar,SN,14.6937,-17.4441,88.68,65,100,9.69,overcast clouds
154,Hovd,MN,48.0056,91.6419,19.56,46,98,2.04,overcast clouds
155,Valleyview,CA,55.0667,-117.2859,15.84,79,100,5.75,overcast clouds
156,Dikson,RU,73.5069,80.5464,-0.99,97,99,7.81,overcast clouds
157,Mayya,RU,61.7333,130.2811,-2.69,91,100,9.95,overcast clouds
158,Santa Isabel,BR,-23.3156,-46.2214,73.11,76,72,12.3,light rain
159,Katsuura,JP,35.1333,140.3,63.64,80,32,6.46,scattered clouds
160,Uvinza,TZ,-5.1036,30.3911,68.4,86,83,2.98,broken clouds
161,Hami,CN,42.8,93.45,33.19,43,5,2.04,clear sky
162,Hamilton,US,39.1834,-84.5333,59.63,95,100,8.05,mist
163,Norman Wells,CA,65.282,-126.8329,14.04,85,75,3.44,light snow
164,Anadyr,RU,64.75,177.4833,-12.5,83,89,4.47,fog
165,Nouakchott,MR,18.0858,-15.9785,82.33,58,93,11.95,overcast clouds
166,Rawson,AR,-43.3002,-65.1023,62.74,59,100,12.44,overcast clouds
167,Kavaratti,IN,10.5669,72.642,82.31,59,100,3.0,overcast clouds
168,Iqaluit,CA,63.7506,-68.5145,6.53,77,75,2.3,light snow
169,Thunder Bay,CA,48.4001,-89.3168,30.18,86,100,4.61,overcast clouds
170,Denpasar,ID,-8.65,115.2167,78.46,83,20,3.44,few clouds
171,Ormara,PK,25.2088,64.6357,79.95,71,5,8.59,clear sky
172,Houston,US,29.7633,-95.3633,85.28,70,100,9.22,overcast clouds
173,Dawlatabad,AF,36.4141,64.9053,47.77,49,7,4.09,clear sky
174,Udachnyy,RU,66.4167,112.4,0.45,77,100,7.67,light snow
175,Zwedru,LR,6.0667,-8.1281,74.21,93,96,3.69,light rain
176,Caravelas,BR,-17.7125,-39.2481,80.37,67,88,9.82,overcast clouds
177,Kitakata,JP,37.65,139.8667,49.24,96,15,2.15,few clouds
178,Kaspiysk,RU,42.8816,47.6392,48.38,87,40,4.47,scattered clouds
179,Tilichiki,RU,60.4667,166.1,12.29,91,100,7.07,overcast clouds
180,Mahanje,TZ,-9.9333,35.3333,73.56,52,77,3.98,broken clouds
181,Kaitangata,NZ,-46.2817,169.8464,52.57,70,100,3.36,overcast clouds
182,Port Blair,IN,11.6667,92.75,77.04,94,40,2.3,mist
183,Klyuchi,RU,52.2667,79.1667,30.67,96,100,13.58,light snow
184,Oga,IT,46.4631,10.347,43.48,58,89,0.72,overcast clouds
185,Teya,RU,60.3778,92.6267,24.19,89,100,10.2,overcast clouds
