City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
466,Porto Novo,BJ,82.22,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
467,Pak Phanang,TH,79.07,moderate rain,8.3511,100.202,Green Park Inn Hotel
470,Chengam,IN,70.59,very heavy rain,12.3,78.8,C.T.S.Lodge
472,Wichian Buri,TH,73.51,overcast clouds,15.6578,101.106,Mit Sali Hotel
473,Progreso,MX,87.12,clear sky,21.2833,-89.6667,Playa Linda Hotel
474,Itoman,JP,77.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
475,Grand Gaube,MU,73.8,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
479,Celestun,MX,81.86,clear sky,20.8667,-90.4,Posada Lilia
480,Buala,SB,75.69,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
481,Merta,IN,69.3,clear sky,26.65,74.0333,V Resorts Ganthiya
483,Gasa,PS,70.29,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
485,Evans,US,68.52,mist,33.5337,-82.1307,Evans hide out
488,Conde,BR,83.66,few clouds,-7.2597,-34.9075,Pousada Beija Flor
490,Himensulan,PH,78.66,broken clouds,10.5967,124.2821,Mangodlong Paradise Beach Resort
491,Bell Ville,AR,88.66,overcast clouds,-32.6259,-62.6887,Hotel Central
492,Auki,SB,77.43,moderate rain,-8.7676,160.7034,Auki Motel
494,Houma,US,80.6,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
495,Sao Pedro,BR,71.2,overcast clouds,-22.5486,-47.9139,Inn Dinosaur Valley
500,Ziyang,CN,67.06,clear sky,29.2497,117.8547,Wuyuan Great Wall Hotel
501,Puerto Colombia,CO,73.49,light rain,10.9878,-74.9547,Hotel El Emigrante
502,Kununurra,AU,78.78,clear sky,-15.7667,128.7333,Hotel Kununurra
504,Bowen,AU,72.28,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
507,Limbang,MY,77.11,overcast clouds,4.75,115.0,Purnama Hotel
509,Lircay,PE,66.2,broken clouds,-12.9896,-74.7205,Recreo Hospedaje correito
510,Valera,VE,78.28,overcast clouds,9.3178,-70.6036,Hotel Camino Real
511,Portel,BR,89.47,overcast clouds,-1.9356,-50.8211,Kitnet do Marcos
512,Kutum,SD,70.5,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
514,Guerrero Negro,MX,69.08,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
516,Kudahuvadhoo,MV,81.45,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
518,Sawakin,SD,84.33,overcast clouds,19.1059,37.3321,فندق الدويم
519,Soure,BR,82.47,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
523,Sao Jose Da Coroa Grande,BR,80.82,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
524,Aquiraz,BR,89.46,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
525,Huarmey,PE,70.23,scattered clouds,-10.0681,-78.1522,Hotel Miramar
529,Meulaboh,ID,75.85,moderate rain,4.1363,96.1285,Kost Pria
532,General Roca,AR,72.3,scattered clouds,-39.0333,-67.5833,Hotel El Recreo
533,Atambua,ID,74.93,broken clouds,-9.1061,124.8925,Ros Muskanan
